url,title,author,journal,number,cites,year,authorid,cid,pubid,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
"https://scholar.google.lu/scholar?cites=8314924143408671105&as_sdt=2005&sciodt=0,5&hl=de",CityPulse: Large Scale Data Analytics Framework for Smart Cities,"D Puiu, P Barnaghi, R Tönjes, D Kümper, MI Ali, A Mileo, JX Parreira",IEEE Access: Smart Cities,4,65,2016,1xzZr9wAAAAJ,8.31E+18,KxtntwgDAa4C,24,28,9,1,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=14691812432392230861&as_sdt=2005&sciodt=0,5&hl=de",Semiot: an architecture of semantic internet of things middleware,"M Kolchin, N Klimov, I Shilin, D Garayzuev, A Andreev, D Mouromtsev",Internet of Things (iThings) and IEEE Green Computing and Communicationsë__Ñ_,,1,2016,42uM92QAAAAJ,1.47E+19,_Qo2XoVZTnwC,1,,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=15569914975455185245&as_sdt=2005&sciodt=0,5&hl=de",SPITFIRE: toward a semantic web of things,"D Pfisterer, K Romer, D Bimschas, O Kleine, R Mietz, C Truong",IEEE Communications Magazine,"49 (11), 40-48",271,2011,oNQBZXcAAAAJ,1.56E+19,j3f4tGmQtD8C,21,42,62,42,46,28,24,0,2,,,,,,,,
"https://scholar.google.lu/scholar?cites=139014396095984846&as_sdt=2005&sciodt=0,5&hl=de",Responsive decentralized composition of service mashups for the internet of things,"A Ciortea, O Boissier, A Zimmermann, AM Florea",Proceedings of the,"6th International Conference on the Internet of Things, 53-61",10,2016,5YHZ4VQAAAAJ,1.39E+17,cK4Rrx0J3m0C,6,3,1,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=684537407033105120&as_sdt=2005&sciodt=0,5&hl=de",Unified IoT ontology to enable interoperability and federation of testbeds,"R Agarwal, DG Fernandez, T Elsaleh, A Gyrard, J Lanza, L Sanchez",Internet of Things (WF-IoT),"2016 IEEE 3rd World Forum on, 70-75",32,2016,EAmKaEoAAAAJ,6.85E+17,_FxGoFyzp5QC,19,11,2,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=1287680486264473268&as_sdt=2005&sciodt=0,5&hl=de",Service modelling for the Internet of Things,"S De, P Barnaghi, M Bauer, S Meissner",Computer Science and Information Systems (FedCSIS),2011 Federatedë__Ñ_,175,2011,4nEB10MAAAAJ,1.29E+18,u5HHmVD_uO8C,22,30,36,23,26,22,14,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=10736507704130852824&as_sdt=2005&sciodt=0,5&hl=de",Openiot: Open source internet-of-things in the cloud,"J Soldatos, N Kefalakis, M Hauswirth, M Serrano, JP Calbimonte, M Riahi",Interoperability and open-source solutions for the internet of things,13-25,146,2015,X-4jcsoAAAAJ,1.07E+19,J-pR_7NvFogC,34,61,37,11,1,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=7084106714367854834&as_sdt=2005&sciodt=0,5&hl=de",Sensing presence (presense) ontology: User modelling in the semantic sensor web,"AE Cano, AS Dadzie, V Uren, F Ciravegna",Extended Semantic Web Conference,253-268,6,2011,Vr4nfK8AAAAJ,7.08E+18,aqlVkmm33-oC,1,0,1,1,2,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=6507389761479687279&as_sdt=2005&sciodt=0,5&hl=de",The semantic sensor network ontology,"H Neuhaus, M Compton","AGILE workshop on challenges in geospatial data harmonisation, Hannoverë__Ñ_",,94,2009,Lq5D3Q0AAAAJ,6.51E+18,u-x6o8ySG0sC,3,10,9,13,7,11,11,17,11,2,,,,,,,
"https://scholar.google.lu/scholar?cites=9100035165384668411&as_sdt=2005&sciodt=0,5&hl=de",The MMI device ontology: Enabling sensor integration,"C Rueda, N Galbraith, RA Morris, LE Bermudez, RA Arko, J Graybeal","Proceedings of the AGU Fall Meeting Abstracts, San Francisco, CA, USA",13-17,4,2010,xwDzXlwAAAAJ,9.10E+18,UebtZRa9Y70C,2,1,0,1,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=466573974657417193&as_sdt=2005&sciodt=0,5&hl=de",Building a Sensor Ontology: A Practical Approach Leveraging ISO and OGC Models.,"DJ Russomanno, CR Kothari, OA Thomas",IC-AI,637-643,228,2005,okL3ICAAAAAJ,4.67E+17,u5HHmVD_uO8C,3,11,13,18,23,18,22,32,30,22,13,12,6,,,,
"https://scholar.google.lu/scholar?cites=10649009500174962826&as_sdt=2005&sciodt=0,5&hl=de",A smart city data model based on semantics best practice and principles,"S Consoli, M Mongiovic, AG Nuzzolese, S Peroni, V Presutti",Proceedings of the,"24th International Conference on World Wide Web, 1395-1400",10,2015,iKuqT2cAAAAJ,1.06E+19,mKu_rENv82IC,3,4,3,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=15313478808821206978&as_sdt=2005&sciodt=0,5&hl=de",Smart City Ontologies: Improving the effectiveness of smart city applications,"N Komninos, C Bratsas, C Kakderi, P Tsarchopoulos",Journal of Smart Cities,"1 (1), 31-46",33,2015,nowIqMcAAAAJ,1.53E+19,yZoBfgUKqwcC,9,11,10,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=1991278299324631267&as_sdt=2005&sciodt=0,5&hl=de",IoT-Lite: A Lightweight Semantic Model for the Internet of Things,"M Bermudez-Edo, T Elsaleh, P Barnaghi, K Taylor",IEEE Conferences on Ubiquitous Intelligence & Computing,,31,2016,7xczPKEAAAAJ,1.99E+18,9pM33mqn1YgC,17,14,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=3236599121059606888&as_sdt=2005&sciodt=0,5&hl=de",Hypercat RDF: Semantic Enrichment for IoT,"I Tachmazidis, J Davies, S Batsakis, G Antoniou, A Duke, SS Clarke",Joint International Semantic Technology Conference,273-286,5,2016,-QBmDHUAAAAJ,3.24E+18,roLk4NBRz8UC,2,3,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=1026100844489707709&as_sdt=2005&sciodt=0,5&hl=de",SEAS Knowledge Model,"M Lefrançois, J Kalaoja, T Ghariani, A Zimmermann",,,3,2017,Miw4DgIAAAAJ,"133,087,057,013,002,000,000,000,000,000,000,000,000",OU6Ihb5iCvQC,3,,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=16558272481635054687&as_sdt=2005&sciodt=0,5&hl=de",Semantic reasoning for context-aware Internet of Things applications,"AI Maarala, X Su, J Riekki",IEEE Internet of Things Journal,"4 (2), 461-473",36,2017,4eV1mx0AAAAJ,1.66E+19,u-x6o8ySG0sC,18,13,4,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=5347414065874167002&as_sdt=2005&sciodt=0,5&hl=de",Ontologies for the internet of things,"S Hachem, T Teixeira, V Issarny",Proceedings of the,"8th Middleware Doctoral Symposium, 3",136,2011,xMXV0TgAAAAJ,5.35E+18,d1gkVwhDpl0C,18,38,14,25,24,8,9,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=1267461070833741784&as_sdt=2005&sciodt=0,5&hl=de",Transforming meteorological data into linked data,"G Atemezing, O Corcho, D Garijo, J Mora, M Poveda-Villalón, P Rozas",Semantic Web,"4 (3), 285-290",36,2013,17EeA1UAAAAJ,1.27E+18,W7OEmFMy1HYC,9,5,7,4,7,3,1,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=10216658394990717742&as_sdt=2005&sciodt=0,5&hl=de",Knowledge representation in the semantic web for Earth and environmental terminology (SWEET),"RG Raskin, MJ Pan",Computers & geosciences,"31 (9), 1119-1125",321,2005,v1gDdrsAAAAJ,1.02E+19,u5HHmVD_uO8C,18,28,29,27,20,31,38,36,21,18,26,10,7,3,2,,
"https://scholar.google.lu/scholar?cites=5511445927125055876&as_sdt=2005&sciodt=0,5&hl=de",Enrich Machine-to-Machine Data with Semantic Web Technologies for Cross-Domain Applications,"A Gyrard, C Bonnet, K Boudaoud",IEEE World Forum on Internet of Things,2014,45,2014,sUgbvKoAAAAJ,5.51E+18,zYLM7Y9cAGgC,6,10,10,14,4,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=1206939237531782160&as_sdt=2005&sciodt=0,5&hl=de",Fast prototyping and deployment of context-aware smart outdoor environments,"P Ziafati, F Mastrogiovanni, A Sgorbissa",Intelligent Environments (IE),2011 7th International Conference on,8,2011,7x5zhBMAAAAJ,1.21E+18,u-x6o8ySG0sC,1,1,3,0,2,1,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=9397829237971039046&as_sdt=2005&sciodt=0,5&hl=de",Tourmislod: A tourism linked data set,"M Sabou, I Arsal, AMP Braşoveanu",Semantic Web,"4 (3), 271-276",15,2013,kkbdIV0AAAAJ,9.40E+18,WbkHhVStYXYC,3,2,7,2,1,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=10515413983834035763&as_sdt=2005&sciodt=0,5&hl=de",Development and Alignment of a Domain-Specific Ontology for Question Answering.,"S Ou, V Pekar, C Orasan, C Spurk, M Negri",LREC,,63,2008,wZg3myQAAAAJ,1.05E+19,9yKSN-GCB0IC,3,5,7,7,4,8,6,11,6,5,,,,,,,
"https://scholar.google.lu/scholar?cites=4169079992862049306&as_sdt=2005&sciodt=0,5&hl=de",Ontologies for knowledge management,A Kiryakov,Semantic Web Technologies: Trends and Research in OntologyŠ—based SystemsÎ¾Š—_,,35,2006,MoKQ58UAAAAJ,4.17E+18,Se3iqnhoufwC,1,1,3,2,1,3,5,4,3,8,2,1,1,,,,
"https://scholar.google.lu/scholar?cites=12551562769295116331&as_sdt=2005&sciodt=0,5&hl=de",Using semantic web technology in multi-agent systems: a case study in the TAGA trading agent environment,"Y Zou, T Finin, L Ding, H Chen, R Pan",Proceedings of the,"5th international conference on Electronic commerce, 95-101",75,2003,p5oWQ0AAAAAJ,1.26E+19,JV2RwH3_ST0C,2,3,0,4,2,5,6,3,4,4,5,12,17,8,,,
"https://scholar.google.lu/scholar?cites=3298091857909150771&as_sdt=2005&sciodt=0,5&hl=de",Activity recognition using context-aware infrastructure ontology in smart home domain,"K Wongpatikaseree, M Ikeda, M Buranarach, T Supnithi, AO Lim, Y Tan","Knowledge, Information and Creativity Support Systems (KICSS)",2012 SeventhÎ¾Š—_,57,2012,PCe4CO0AAAAJ,3.30E+18,isU91gLudPYC,8,16,11,9,7,3,3,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=4118235732719559986&as_sdt=2005&sciodt=0,5&hl=de",Knowledge-driven activity recognition and segmentation using context connections,"G Meditskos, E Kontopoulos, I Kompatsiaris",International Semantic Web Conference,260-275,10,2014,s1JMKSAAAAAJ,4.12E+18,MXK_kJrjxJIC,4,5,1,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=8452568300409286730&as_sdt=2005&sciodt=0,5&hl=de",Dogont-ontology modeling for intelligent domotic environments,"D Bonino, F Corno",International Semantic Web Conference,790-803,219,2008,11G6reMAAAAJ,8.45E+18,d1gkVwhDpl0C,20,24,31,38,20,14,28,19,13,7,3,1,,,,,
"https://scholar.google.lu/scholar?cites=17864067866882906826&as_sdt=2005&sciodt=0,5&hl=de",Poweront: An ontology-based approach for power consumption estimation in smart homes,"D Bonino, F Corno, L De Russis",Internet of Things. User-Centric IoT,03-Aug,7,2015,11G6reMAAAAJ,1.79E+19,ldfaerwXgEUC,3,0,1,2,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=15948161895570779755&as_sdt=2005&sciodt=0,5&hl=de",A fuzzy ontology for semantic modelling and recognition of human behaviour,"ND Rodríguez, MP Cuéllar, J Lilius, MD Calvo-Flores",Knowledge-Based Systems,"66, 46-60",65,2014,aia6ZgYAAAAJ,1.59E+19,ILKRHgRFtOwC,15,16,19,13,1,,,,,,,,,,,,
